parallax,Av. error (mm),Info,Higher Info
"1,59","21,25",seq0_no_checks,105-2-115_TwoPoints
"1,67","14,16",seq0_no_checks,105-2-115_TwoPoints
"1,67","13,00",seq0_no_checks,105-2-115_TwoPoints
"1,46","6,06",seq0_no_checks,105-2-115_TwoPoints
"1,46","5,04",seq0_no_checks,105-2-115_TwoPoints
"1,53","2,39",seq0_no_checks,105-2-115_TwoPoints
"1,53","1,26",seq0_no_checks,105-2-115_TwoPoints
"1,50","1,27",seq0_no_checks,105-2-115_TwoPoints
"1,50","1,19",seq0_no_checks,105-2-115_TwoPoints
"1,34","34,24",seq0_no_checks,105-2-115_TwoPoints
"1,34","35,50",seq0_no_checks,105-2-115_TwoPoints
"0,46","6,66",seq0_no_checks,105-2-115_TwoPoints
"0,46","5,63",seq0_no_checks,105-2-115_TwoPoints
"0,52","35,12",seq0_no_checks,105-2-115_TwoPoints
"0,52","34,27",seq0_no_checks,105-2-115_TwoPoints
"1,19","14,52",seq0_no_checks,105-2-115_TwoPoints
"1,19","16,08",seq0_no_checks,105-2-115_TwoPoints
"1,19","15,01",seq0_no_checks,105-2-115_TwoPoints
"1,19","16,56",seq0_no_checks,105-2-115_TwoPoints
"1,23","11,44",seq0_no_checks,105-2-115_TwoPoints
"1,23","13,06",seq0_no_checks,105-2-115_TwoPoints
"1,32","36,04",seq0_no_checks,105-2-115_TwoPoints
"1,32","37,29",seq0_no_checks,105-2-115_TwoPoints
"1,93","4,19",seq0_no_checks,105-2-115_TwoPoints
"1,93","4,05",seq0_no_checks,105-2-115_TwoPoints
"1,93","4,20",seq0_no_checks,105-2-115_TwoPoints
"1,93","4,07",seq0_no_checks,105-2-115_TwoPoints
"1,81","1,27",seq0_no_checks,105-2-115_TwoPoints
"1,81","1,19",seq0_no_checks,105-2-115_TwoPoints
"1,83","2,92",seq0_no_checks,105-2-115_TwoPoints
"1,83","2,79",seq0_no_checks,105-2-115_TwoPoints
"1,85","17,34",seq0_no_checks,105-2-115_TwoPoints
"1,85","17,21",seq0_no_checks,105-2-115_TwoPoints
"1,91","14,41",seq0_no_checks,105-2-115_TwoPoints
"1,91","15,53",seq0_no_checks,105-2-115_TwoPoints
"1,45","18,23",seq0_no_checks,105-2-115_TwoPoints
"1,45","19,76",seq0_no_checks,105-2-115_TwoPoints
"1,41","30,39",seq0_no_checks,105-2-115_TwoPoints
"1,41","31,70",seq0_no_checks,105-2-115_TwoPoints
"1,49","27,11",seq0_no_checks,105-2-115_TwoPoints
"1,49","28,33",seq0_no_checks,105-2-115_TwoPoints
"1,56","24,03",seq0_no_checks,105-2-115_TwoPoints
"1,56","25,45",seq0_no_checks,105-2-115_TwoPoints
"1,38","31,92",seq0_no_checks,105-2-115_TwoPoints
"1,38","33,31",seq0_no_checks,105-2-115_TwoPoints
"1,70","18,51",seq0_no_checks,105-2-115_TwoPoints
"1,70","18,99",seq0_no_checks,105-2-115_TwoPoints
"1,55","28,41",seq0_no_checks,105-2-115_TwoPoints
"1,55","29,51",seq0_no_checks,105-2-115_TwoPoints
"0,93","24,80",seq0_no_checks,105-2-115_TwoPoints
"0,93","24,43",seq0_no_checks,105-2-115_TwoPoints
"0,87","29,91",seq0_no_checks,105-2-115_TwoPoints
"0,87","28,51",seq0_no_checks,105-2-115_TwoPoints
"1,26","38,62",seq0_no_checks,105-2-115_TwoPoints
"1,26","39,91",seq0_no_checks,105-2-115_TwoPoints
"1,25","39,26",seq0_no_checks,105-2-115_TwoPoints
"1,25","40,51",seq0_no_checks,105-2-115_TwoPoints
"0,28","78,86",seq0_no_checks,105-2-115_TwoPoints
"0,28","77,85",seq0_no_checks,105-2-115_TwoPoints
"0,30","71,94",seq0_no_checks,105-2-115_TwoPoints
"0,30","70,93",seq0_no_checks,105-2-115_TwoPoints
"0,52","7,04",seq0_no_checks,105-2-115_TwoPoints
"0,52","8,09",seq0_no_checks,105-2-115_TwoPoints
"0,61","14,91",seq0_no_checks,105-2-115_TwoPoints
"0,61","16,01",seq0_no_checks,105-2-115_TwoPoints
"0,61","14,00",seq0_no_checks,105-2-115_TwoPoints
"0,61","15,10",seq0_no_checks,105-2-115_TwoPoints
"1,35","34,14",seq0_no_checks,105-2-115_TwoPoints
"1,35","34,17",seq0_no_checks,105-2-115_TwoPoints
"1,29","37,80",seq0_no_checks,105-2-115_TwoPoints
"1,29","39,14",seq0_no_checks,105-2-115_TwoPoints
"1,24","41,03",seq0_no_checks,105-2-115_TwoPoints
"1,24","40,95",seq0_no_checks,105-2-115_TwoPoints
"1,52","20,94",seq0_no_checks,105-2-115_TwoPoints
"1,52","20,72",seq0_no_checks,105-2-115_TwoPoints
"1,44","1,98",seq0_no_checks,105-2-115_TwoPoints
"1,44","3,29",seq0_no_checks,105-2-115_TwoPoints
"0,45","9,72",seq0_no_checks,105-2-115_TwoPoints
"0,45","8,67",seq0_no_checks,105-2-115_TwoPoints
"1,68","19,31",seq0_no_checks,105-2-115_TwoPoints
"1,68","19,34",seq0_no_checks,105-2-115_TwoPoints
"1,63","20,77",seq0_no_checks,105-2-115_TwoPoints
"1,63","20,85",seq0_no_checks,105-2-115_TwoPoints
"1,45","18,35",seq0_no_checks,105-2-115_TwoPoints
"1,45","18,18",seq0_no_checks,105-2-115_TwoPoints
"2,04","1,50",seq0_no_checks,105-2-115_TwoPoints
"2,04","1,21",seq0_no_checks,105-2-115_TwoPoints
"1,11","4,37",seq0_no_checks,105-2-115_TwoPoints
"1,11","4,92",seq0_no_checks,105-2-115_TwoPoints
"1,13","6,30",seq0_no_checks,105-2-115_TwoPoints
"1,13","6,86",seq0_no_checks,105-2-115_TwoPoints
"0,90","25,39",seq0_no_checks,105-2-115_TwoPoints
"0,90","25,07",seq0_no_checks,105-2-115_TwoPoints
"0,46","91,18",seq0_no_checks,105-2-115_TwoPoints
"0,46","90,21",seq0_no_checks,105-2-115_TwoPoints
"0,17","256,43",seq0_no_checks,105-2-115_TwoPoints
"0,17","255,49",seq0_no_checks,105-2-115_TwoPoints
"0,20","240,91",seq0_no_checks,105-2-115_TwoPoints
"0,20","239,94",seq0_no_checks,105-2-115_TwoPoints
"1,00","13,95",seq0_no_checks,105-2-115_TwoPoints
"1,00","13,71",seq0_no_checks,105-2-115_TwoPoints
"2,10","1,10",seq0_no_checks,105-2-115_TwoPoints
"2,10","2,09",seq0_no_checks,105-2-115_TwoPoints
"2,06","2,08",seq0_no_checks,105-2-115_TwoPoints
"2,06","1,80",seq0_no_checks,105-2-115_TwoPoints
"1,45","18,80",seq0_no_checks,105-2-115_TwoPoints
"1,45","18,39",seq0_no_checks,105-2-115_TwoPoints
"1,52","19,02",seq0_no_checks,105-2-115_TwoPoints
"1,52","18,79",seq0_no_checks,105-2-115_TwoPoints
"1,01","10,25",seq0_no_checks,105-2-115_TwoPoints
"1,01","8,82",seq0_no_checks,105-2-115_TwoPoints
"0,97","12,43",seq0_no_checks,105-2-115_TwoPoints
"0,97","12,19",seq0_no_checks,105-2-115_TwoPoints
"0,40","98,71",seq0_no_checks,105-2-115_TwoPoints
"0,40","97,75",seq0_no_checks,105-2-115_TwoPoints
